Country,Date,Cases,Deaths
AFG,2020-06-01,656.0,15.0
AFG,2020-06-02,742.0,5.0
AFG,2020-06-03,775.0,24.0
AFG,2020-06-04,624.0,5.0
AFG,2020-06-05,1078.0,10.0
AFG,2020-06-06,582.0,18.0
AFG,2020-06-07,791.0,30.0
AFG,2020-06-08,575.0,12.0
AFG,2020-06-09,305.0,7.0
AFG,2020-06-10,920.0,29.0
AFG,2020-06-11,748.0,21.0
AFG,2020-06-12,656.0,20.0
AFG,2020-06-13,556.0,5.0
AFG,2020-06-14,664.0,20.0
AFG,2020-06-15,761.0,5.0
AFG,2020-06-16,106.0,8.0
AFG,2020-06-17,1241.0,20.0
AFG,2020-06-18,463.0,42.0
AFG,2020-06-19,541.0,2.0
AFG,2020-06-20,419.0,0.0
AFG,2020-06-21,536.0,33.0
AFG,2020-06-22,310.0,17.0
AFG,2020-06-23,338.0,20.0
AFG,2020-06-24,159.0,21.0
AFG,2020-06-25,535.0,36.0
AFG,2020-06-26,85.0,5.0
AFG,2020-06-27,356.0,23.0
AFG,2020-06-28,351.0,26.0
AFG,2020-06-29,271.0,4.0
AFG,2020-06-30,121.0,2.0
AFG,2020-07-01,403.0,39.0
AFG,2020-07-02,260.0,33.0
AFG,2020-07-03,302.0,12.0
AFG,2020-07-04,348.0,7.0
AFG,2020-07-05,279.0,38.0
AFG,2020-07-06,113.0,23.0
AFG,2020-07-07,320.0,33.0
AFG,2020-07-08,210.0,16.0
AFG,2020-07-09,59.0,1.0
AFG,2020-07-10,541.0,34.0
AFG,2020-07-11,157.0,4.0
AFG,2020-07-12,100.0,35.0
AFG,2020-07-13,4.0,2.0
AFG,2020-07-14,285.0,33.0
AFG,2020-07-15,200.0,49.0
AFG,2020-07-16,130.0,19.0
AFG,2020-07-17,159.0,34.0
AFG,2020-07-18,60.0,0.0
AFG,2020-07-19,186.0,34.0
AFG,2020-07-20,34.0,2.0
AFG,2020-07-21,106.0,1.0
AFG,2020-07-22,112.0,6.0
AFG,2020-07-23,188.0,21.0
AFG,2020-07-24,66.0,14.0
AFG,2020-07-25,55.0,21.0
AFG,2020-07-26,121.0,13.0
AFG,2020-07-27,106.0,10.0
AFG,2020-07-28,105.0,1.0
AFG,2020-07-29,103.0,1.0
AFG,2020-07-30,71.0,0.0
AFG,2020-07-31,0.0,0.0
