Date,Search,Province
2020-05-01,33.0,AB
2020-05-02,28.0,AB
2020-05-03,31.0,AB
2020-05-04,31.0,AB
2020-05-05,29.0,AB
2020-05-06,34.0,AB
2020-05-07,30.0,AB
2020-05-08,28.0,AB
2020-05-09,26.0,AB
2020-05-10,26.0,AB
2020-05-11,28.0,AB
2020-05-12,29.0,AB
2020-05-13,31.0,AB
2020-05-14,28.0,AB
2020-05-15,26.0,AB
2020-05-16,26.0,AB
2020-05-17,25.0,AB
2020-05-18,24.0,AB
2020-05-19,26.0,AB
2020-05-20,24.0,AB
2020-05-21,24.0,AB
2020-05-22,25.0,AB
2020-05-23,24.0,AB
2020-05-24,25.0,AB
2020-05-25,26.0,AB
2020-05-26,24.0,AB
2020-05-27,24.0,AB
2020-05-28,22.0,AB
2020-05-29,21.0,AB
2020-05-30,21.0,AB
2020-05-31,21.0,AB
2020-06-01,22.0,AB
2020-06-02,22.0,AB
2020-06-03,22.0,AB
2020-06-04,21.0,AB
2020-06-05,21.0,AB
2020-06-06,19.0,AB
2020-06-07,24.0,AB
2020-06-08,30.0,AB
2020-06-09,30.0,AB
2020-06-10,26.0,AB
2020-06-11,23.0,AB
2020-06-12,21.0,AB
2020-06-13,19.0,AB
2020-06-14,18.0,AB
2020-06-15,22.0,AB
2020-06-16,20.0,AB
2020-06-17,21.0,AB
2020-06-18,21.0,AB
2020-06-19,21.0,AB
2020-06-20,21.0,AB
2020-06-21,19.0,AB
2020-06-22,26.0,AB
2020-06-23,24.0,AB
2020-06-24,22.0,AB
2020-06-25,23.0,AB
2020-06-26,25.0,AB
2020-06-27,23.0,AB
2020-06-28,25.0,AB
2020-06-29,25.0,AB
2020-06-30,21.0,AB
2020-07-01,22.0,AB
2020-07-02,24.0,AB
2020-07-03,23.0,AB
2020-07-04,20.0,AB
2020-07-05,21.0,AB
2020-07-06,25.0,AB
2020-07-07,25.0,AB
2020-07-08,24.0,AB
2020-07-09,22.0,AB
2020-07-10,21.0,AB
2020-07-11,22.0,AB
2020-07-12,22.0,AB
2020-07-13,27.0,AB
2020-07-14,32.0,AB
2020-07-15,28.0,AB
2020-07-16,31.0,AB
2020-07-17,31.0,AB
2020-07-18,27.0,AB
2020-07-19,23.0,AB
2020-07-20,31.0,AB
2020-07-21,34.0,AB
2020-07-22,30.0,AB
2020-07-23,29.0,AB
2020-07-24,28.0,AB
2020-07-25,26.0,AB
2020-07-26,23.0,AB
2020-07-27,32.0,AB
2020-07-28,29.0,AB
2020-07-29,28.0,AB
2020-07-30,27.0,AB
2020-07-31,25.0,AB
2020-08-01,21.0,AB
2020-08-02,21.0,AB
2020-08-03,24.0,AB
2020-08-04,27.0,AB
2020-08-05,36.0,AB
2020-08-06,27.0,AB
2020-08-07,20.0,AB
2020-08-08,19.0,AB
2020-08-09,20.0,AB
2020-08-10,23.0,AB
2020-08-11,23.0,AB
2020-08-12,23.0,AB
2020-08-13,24.0,AB
2020-08-14,23.0,AB
2020-08-15,19.0,AB
2020-08-16,17.0,AB
2020-08-17,23.0,AB
2020-08-18,27.0,AB
2020-08-19,22.0,AB
2020-08-20,22.0,AB
2020-08-21,21.0,AB
2020-08-22,19.0,AB
2020-08-23,18.0,AB
2020-08-24,22.0,AB
2020-08-25,24.0,AB
2020-08-26,20.0,AB
2020-08-27,19.0,AB
2020-08-28,19.0,AB
2020-08-29,15.0,AB
2020-08-30,15.0,AB
2020-08-31,22.0,AB
2020-09-01,24.0,AB
2020-09-02,21.0,AB
2020-09-03,21.0,AB
2020-09-04,19.0,AB
2020-09-05,15.0,AB
2020-09-06,15.0,AB
2020-09-07,15.0,AB
2020-09-08,25.0,AB
2020-09-09,28.0,AB
2020-09-10,24.0,AB
2020-09-11,21.0,AB
2020-09-12,17.0,AB
2020-09-13,15.0,AB
2020-09-14,24.0,AB
2020-09-15,23.0,AB
2020-09-16,22.0,AB
2020-09-17,21.0,AB
2020-09-18,22.0,AB
2020-09-19,17.0,AB
2020-09-20,15.0,AB
2020-09-21,22.0,AB
2020-09-22,23.0,AB
2020-09-23,24.0,AB
2020-09-24,23.0,AB
2020-09-25,23.0,AB
2020-09-26,19.0,AB
2020-09-27,16.0,AB
2020-09-28,24.0,AB
2020-09-29,25.0,AB
2020-09-30,20.0,AB
2020-10-01,22.0,AB
2020-10-02,32.0,AB
2020-10-03,23.0,AB
2020-10-04,20.0,AB
2020-10-05,26.0,AB
2020-10-06,28.0,AB
2020-10-07,26.0,AB
2020-10-08,26.0,AB
2020-10-09,28.0,AB
2020-10-10,21.0,AB
2020-10-11,17.0,AB
2020-10-12,19.0,AB
2020-10-13,29.0,AB
2020-10-14,28.0,AB
2020-10-15,25.0,AB
2020-10-16,24.0,AB
2020-10-17,19.0,AB
2020-10-18,17.0,AB
2020-10-19,25.0,AB
2020-10-20,25.0,AB
2020-10-21,26.0,AB
2020-10-22,27.0,AB
2020-10-23,25.0,AB
2020-10-24,21.0,AB
2020-10-25,18.0,AB
2020-10-26,29.0,AB
2020-10-27,32.0,AB
2020-10-28,29.0,AB
2020-10-29,26.0,AB
2020-10-30,29.0,AB
2020-10-31,24.0,AB
2020-11-01,22.0,AB
2020-11-02,30.0,AB
2020-11-03,36.0,AB
2020-11-04,23.0,AB
2020-11-05,28.0,AB
2020-11-06,30.0,AB
2020-11-07,27.0,AB
2020-11-08,26.0,AB
2020-11-09,31.0,AB
2020-11-10,36.0,AB
2020-11-11,32.0,AB
2020-11-12,47.0,AB
2020-11-13,47.0,AB
2020-11-14,36.0,AB
2020-11-15,34.0,AB
2020-11-16,41.0,AB
2020-11-17,42.0,AB
2020-11-18,38.0,AB
2020-11-19,40.0,AB
2020-11-20,44.0,AB
2020-11-21,41.0,AB
2020-11-22,41.0,AB
2020-11-23,59.0,AB
2020-11-24,100.0,AB
2020-11-25,94.0,AB
2020-11-26,47.0,AB
2020-11-27,39.0,AB
2020-11-28,36.0,AB
2020-11-29,37.0,AB
2020-11-30,41.0,AB
2020-12-01,39.0,AB
2020-12-02,41.0,AB
2020-12-03,38.0,AB
2020-12-04,43.0,AB
2020-12-05,36.0,AB
2020-12-06,37.0,AB
2020-12-07,41.0,AB
2020-12-08,66.0,AB
2020-12-09,78.0,AB
2020-12-10,43.0,AB
2020-12-11,37.0,AB
2020-12-12,40.0,AB
2020-12-13,36.0,AB
2020-12-14,37.0,AB
2020-12-15,37.0,AB
2020-12-16,34.0,AB
2020-12-17,35.0,AB
2020-12-18,35.0,AB
2020-12-19,36.0,AB
2020-12-20,34.0,AB
2020-12-21,43.0,AB
2020-12-22,35.0,AB
2020-12-23,33.0,AB
2020-12-24,29.0,AB
2020-12-25,22.0,AB
2020-12-26,26.0,AB
2020-12-27,29.0,AB
2020-12-28,32.0,AB
2020-12-29,32.0,AB
2020-12-30,32.0,AB
2020-12-31,29.0,AB
2021-01-01,28.0,AB
2021-01-02,29.0,AB
2021-01-03,29.0,AB
2021-01-04,33.0,AB
2021-01-05,36.0,AB
2021-01-06,30.0,AB
2021-01-07,36.0,AB
2021-01-08,36.0,AB
2021-01-09,27.0,AB
2021-01-10,26.0,AB
2021-01-11,30.0,AB
2021-01-12,35.0,AB
2021-01-13,30.0,AB
2021-01-14,29.0,AB
2021-01-15,36.0,AB
2021-01-16,26.0,AB
2021-01-17,24.0,AB
2021-01-18,27.0,AB
2021-01-19,28.0,AB
2021-01-20,26.0,AB
2021-01-21,31.0,AB
2021-01-22,28.0,AB
2021-01-23,22.0,AB
2021-01-24,20.0,AB
2021-01-25,27.0,AB
2021-01-26,30.0,AB
2021-01-27,26.0,AB
2021-01-28,25.0,AB
2021-01-29,34.0,AB
2021-01-30,32.0,AB
2021-01-31,22.0,AB
2021-02-01,25.0,AB
2021-02-02,24.0,AB
2021-02-03,26.0,AB
2021-02-04,24.0,AB
2021-02-05,22.0,AB
2021-02-06,22.0,AB
2021-02-07,20.0,AB
2021-02-08,23.0,AB
2021-02-09,22.0,AB
2021-02-10,22.0,AB
2021-02-11,23.0,AB
2021-02-12,22.0,AB
2021-02-13,20.0,AB
2021-02-14,17.0,AB
2021-02-15,20.0,AB
2021-02-16,23.0,AB
2021-02-17,22.0,AB
2021-02-18,22.0,AB
2021-02-19,23.0,AB
2021-02-20,20.0,AB
2021-02-21,21.0,AB
2021-02-22,24.0,AB
2021-02-23,24.0,AB
2021-02-24,33.0,AB
2021-02-25,28.0,AB
2021-02-26,23.0,AB
2021-02-27,20.0,AB
2021-02-28,20.0,AB
2021-03-01,36.0,AB
2021-03-02,37.0,AB
2021-03-03,23.0,AB
2021-03-04,22.0,AB
2021-03-05,26.0,AB
2021-03-06,21.0,AB
2021-03-07,20.0,AB
2021-03-08,24.0,AB
2021-03-09,29.0,AB
2021-03-10,30.0,AB
2021-03-11,29.0,AB
2021-03-12,28.0,AB
2021-03-13,25.0,AB
2021-03-14,24.0,AB
2021-03-15,32.0,AB
2021-03-16,31.0,AB
2021-03-17,27.0,AB
2021-03-18,28.0,AB
2021-03-19,29.0,AB
2021-03-20,26.0,AB
2021-03-21,25.0,AB
2021-03-22,32.0,AB
2021-03-23,32.0,AB
2021-03-24,30.0,AB
2021-03-25,29.0,AB
2021-03-26,28.0,AB
2021-03-27,26.0,AB
2021-03-28,23.0,AB
2021-03-29,35.0,AB
2021-03-30,37.0,AB
2021-03-31,33.0,AB
2021-04-01,41.0,AB
2021-04-02,33.0,AB
2021-04-03,34.0,AB
2021-04-04,33.0,AB
2021-04-05,45.0,AB
2021-04-06,86.0,AB
2021-04-07,83.0,AB
2021-04-08,47.0,AB
2021-04-09,43.0,AB
2021-04-10,39.0,AB
2021-04-11,37.0,AB
2021-04-12,44.0,AB
2021-04-13,43.0,AB
2021-04-14,42.0,AB
2021-04-15,43.0,AB
2021-04-16,41.0,AB
2021-04-17,41.0,AB
2021-04-18,34.0,AB
2021-04-19,44.0,AB
2021-04-20,43.0,AB
2021-04-21,43.0,AB
2021-04-22,46.0,AB
2021-04-23,44.0,AB
2021-04-24,40.0,AB
2021-04-25,38.0,AB
2021-04-26,49.0,AB
2021-04-27,46.0,AB
2021-04-28,44.0,AB
2021-04-29,43.0,AB
2021-04-30,73.0,AB
2021-05-01,57.0,AB
2021-05-02,48.0,AB
2021-05-03,47.0,AB
2021-05-04,76.0,AB
2021-05-05,97.0,AB
2021-05-06,58.0,AB
2021-05-07,39.0,AB
2021-05-08,39.0,AB
2021-05-09,34.0,AB
2021-05-10,45.0,AB
2021-05-11,42.0,AB
2021-05-12,36.0,AB
2021-05-13,34.0,AB
2021-05-14,36.0,AB
2021-05-15,31.0,AB
2021-05-16,32.0,AB
2021-05-17,37.0,AB
2021-05-18,36.0,AB
2021-05-19,35.0,AB
2021-05-20,35.0,AB
2021-05-21,31.0,AB
2021-05-22,28.0,AB
2021-05-23,29.0,AB
2021-05-24,31.0,AB
2021-05-25,41.0,AB
2021-05-26,51.0,AB
2021-05-27,35.0,AB
2021-05-28,31.0,AB
2021-05-29,28.0,AB
2021-05-30,28.0,AB
2021-05-31,32.0,AB
2021-06-01,47.0,AB
2021-06-02,38.0,AB
2021-06-03,30.0,AB
2021-06-04,27.0,AB
2021-06-05,26.0,AB
2021-06-06,25.0,AB
2021-06-07,29.0,AB
2021-06-08,31.0,AB
2021-06-09,30.0,AB
2021-06-10,36.0,AB
2021-06-11,37.0,AB
2021-06-12,27.0,AB
2021-06-13,26.0,AB
2021-06-14,32.0,AB
2021-06-15,40.0,AB
2021-06-16,32.0,AB
2021-06-17,33.0,AB
2021-06-18,41.0,AB
2021-06-19,33.0,AB
2021-06-20,26.0,AB
2021-06-21,30.0,AB
2021-06-22,29.0,AB
2021-06-23,26.0,AB
2021-06-24,25.0,AB
2021-06-25,24.0,AB
2021-06-26,22.0,AB
2021-06-27,22.0,AB
2021-06-28,25.0,AB
2021-06-29,24.0,AB
2021-06-30,21.0,AB
2021-07-01,24.163860830527497,AB
2021-07-02,22.95566778900112,AB
2021-07-03,18.122895622895623,AB
2021-07-04,19.331088664422,AB
2021-07-05,24.163860830527497,AB
2021-07-06,21.747474747474747,AB
2021-07-07,20.539281705948373,AB
2021-07-08,20.539281705948373,AB
2021-07-09,20.539281705948373,AB
2021-07-10,16.914702581369248,AB
2021-07-11,15.706509539842871,AB
2021-07-12,19.331088664422,AB
2021-07-13,19.331088664422,AB
2021-07-14,20.539281705948373,AB
2021-07-15,18.122895622895623,AB
2021-07-16,18.122895622895623,AB
2021-07-17,15.706509539842871,AB
2021-07-18,15.706509539842871,AB
2021-07-19,20.539281705948373,AB
2021-07-20,20.539281705948373,AB
2021-07-21,18.122895622895623,AB
2021-07-22,19.331088664422,AB
2021-07-23,19.331088664422,AB
2021-07-24,18.122895622895623,AB
2021-07-25,16.914702581369248,AB
2021-07-26,22.95566778900112,AB
2021-07-27,24.163860830527497,AB
2021-07-28,25.372053872053872,AB
2021-07-29,26.580246913580247,AB
2021-07-30,24.163860830527497,AB
2021-07-31,20.539281705948373,AB
2021-08-01,18.122895622895623,AB
2021-08-02,19.331088664422,AB
2021-08-03,22.95566778900112,AB
2021-08-04,35.03759820426487,AB
2021-08-05,26.580246913580247,AB
2021-08-06,20.539281705948373,AB
2021-08-07,18.122895622895623,AB
2021-08-08,15.706509539842871,AB
2021-08-09,22.95566778900112,AB
2021-08-10,22.95566778900112,AB
2021-08-11,22.95566778900112,AB
2021-08-12,25.372053872053872,AB
2021-08-13,27.78843995510662,AB
2021-08-14,21.747474747474747,AB
2021-08-15,18.122895622895623,AB
2021-08-16,35.03759820426487,AB
2021-08-17,35.03759820426487,AB
2021-08-18,36.245791245791246,AB
2021-08-19,37.45398428731762,AB
2021-08-20,36.245791245791246,AB
2021-08-21,26.580246913580247,AB
2021-08-22,19.331088664422,AB
2021-08-23,37.45398428731762,AB
2021-08-24,36.245791245791246,AB
2021-08-25,31.413019079685743,AB
2021-08-26,31.413019079685743,AB
2021-08-27,30.20482603815937,AB
2021-08-28,24.163860830527497,AB
2021-08-29,22.95566778900112,AB
2021-08-30,32.621212121212125,AB
2021-08-31,36.245791245791246,AB
2021-09-01,39.87037037037037,AB
2021-09-02,43.494949494949495,AB
2021-09-03,62.82603815937149,AB
2021-09-04,48.327721661054994,AB
2021-09-05,26.580246913580247,AB
2021-09-06,27.78843995510662,AB
2021-09-07,38.662177328844,AB
2021-09-08,42.28675645342312,AB
2021-09-09,42.28675645342312,AB
2021-09-10,38.662177328844,AB
2021-09-11,25.372053872053872,AB
2021-09-12,24.163860830527497,AB
2021-09-13,32.621212121212125,AB
2021-09-14,36.245791245791246,AB
2021-09-15,44.703142536475866,AB
2021-09-16,120.81930415263749,AB
2021-09-17,49.535914702581366,AB
2021-09-18,43.494949494949495,AB
2021-09-19,37.45398428731762,AB
2021-09-20,43.494949494949495,AB
2021-09-21,41.078563411896745,AB
2021-09-22,42.28675645342312,AB
2021-09-23,43.494949494949495,AB
2021-09-24,42.28675645342312,AB
2021-09-25,32.621212121212125,AB
2021-09-26,30.20482603815937,AB
2021-09-27,37.45398428731762,AB
2021-09-28,42.28675645342312,AB
2021-09-29,36.245791245791246,AB
2021-09-30,37.45398428731762,AB
2021-10-01,38.662177328844,AB
2021-10-02,31.413019079685743,AB
2021-10-03,26.580246913580247,AB
2021-10-04,37.45398428731762,AB
2021-10-05,47.11952861952862,AB
2021-10-06,41.078563411896745,AB
2021-10-07,32.621212121212125,AB
2021-10-08,32.621212121212125,AB
2021-10-09,27.78843995510662,AB
2021-10-10,20.539281705948373,AB
2021-10-11,21.747474747474747,AB
2021-10-12,35.03759820426487,AB
2021-10-13,39.87037037037037,AB
