Province,A(H1N1)pdm09,AH3,Auns,A,B,RSV,PIV1,PIV2,PIV3,PIV4,PIV-Other,ADENO,HMPV,RHINO,Corona,EndingDate
Newfoundland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013-08-31
Prince Edward Island,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013-08-31
Nova Scotia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013-08-31
New Brunswick,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013-08-31
Quebec,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,2013-08-31
Onatrio,0.0,0.0,0.0,1.0,0.0,2.0,10.0,0.0,4.0,2.0,0.0,1.0,2.0,27.0,0.0,2013-08-31
Manitoba,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2013-08-31
Saskatchewan,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,5.0,28.0,0.0,2013-08-31
Alberta,1.0,0.0,0.0,4.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,48.0,0.0,2013-08-31
British Columbia,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,6.0,1.0,2013-08-31
Newfoundland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013-09-07
Prince Edward Island,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013-09-07
Nova Scotia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2013-09-07
New Brunswick,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2013-09-07
Quebec,0.0,0.0,0.0,0.0,0.0,4.0,7.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,2013-09-07
