index,Category: All categories,Province
2008-11-02,3.0,Alberta
2008-11-09,4.0,Alberta
2008-11-16,3.0,Alberta
2008-11-23,2.0,Alberta
2008-11-30,2.0,Alberta
2008-12-07,2.0,Alberta
2008-12-14,2.0,Alberta
2008-12-21,2.0,Alberta
2008-12-28,1.0,Alberta
2009-01-04,1.0,Alberta
2009-01-11,1.0,Alberta
2009-01-18,1.0,Alberta
2009-01-25,1.0,Alberta
2009-02-01,1.0,Alberta
2009-02-08,2.0,Alberta
2009-02-15,1.0,Alberta
2009-02-22,2.0,Alberta
2009-03-01,2.0,Alberta
2009-03-08,2.0,Alberta
2009-03-15,1.0,Alberta
2009-03-22,1.0,Alberta
2009-03-29,1.0,Alberta
2009-04-05,1.0,Alberta
2009-04-12,1.0,Alberta
2009-04-19,6.0,Alberta
2009-04-26,100.0,Alberta
2009-05-03,30.0,Alberta
2009-05-10,13.0,Alberta
2009-05-17,8.0,Alberta
2009-05-24,4.0,Alberta
2009-05-31,3.0,Alberta
2009-06-07,6.0,Alberta
2009-06-14,5.0,Alberta
2009-06-21,5.0,Alberta
2009-06-28,3.0,Alberta
2009-07-05,4.0,Alberta
2009-07-12,5.0,Alberta
2009-07-19,4.0,Alberta
2009-07-26,3.0,Alberta
2009-08-02,2.0,Alberta
2009-08-09,3.0,Alberta
2009-08-16,4.0,Alberta
2009-08-23,4.0,Alberta
2009-08-30,4.0,Alberta
2009-09-06,5.0,Alberta
2009-09-13,6.0,Alberta
2009-09-20,8.0,Alberta
2009-09-27,7.0,Alberta
2009-10-04,7.0,Alberta
2009-10-11,17.0,Alberta
2009-10-18,25.0,Alberta
2009-10-25,69.0,Alberta
2009-11-01,34.0,Alberta
2009-11-08,16.0,Alberta
2009-11-15,9.0,Alberta
2009-11-22,9.0,Alberta
2009-11-29,6.0,Alberta
2009-12-06,4.0,Alberta
2009-12-13,3.0,Alberta
2009-12-20,4.0,Alberta
2009-12-27,2.0,Alberta
2010-01-03,2.0,Alberta
2010-01-10,2.0,Alberta
2010-01-17,2.0,Alberta
2010-01-24,2.0,Alberta
2010-01-31,2.0,Alberta
2010-02-07,0.01,Alberta
2010-02-14,1.0,Alberta
2010-02-21,2.0,Alberta
2010-02-28,1.0,Alberta
2010-03-07,1.0,Alberta
2010-03-14,2.0,Alberta
2010-03-21,1.0,Alberta
2010-03-28,1.0,Alberta
2010-04-04,1.0,Alberta
2010-04-11,0.01,Alberta
2010-04-18,1.0,Alberta
2010-04-25,1.0,Alberta
2010-05-02,1.0,Alberta
2010-05-09,1.0,Alberta
2010-05-16,0.01,Alberta
2010-05-23,1.0,Alberta
2010-05-30,2.0,Alberta
2010-06-06,1.0,Alberta
2010-06-13,0.01,Alberta
2010-06-20,1.0,Alberta
2010-06-27,1.0,Alberta
2010-07-04,1.0,Alberta
2010-07-11,0.01,Alberta
2010-07-18,0.01,Alberta
2010-07-25,1.0,Alberta
2010-08-01,0.01,Alberta
2010-08-08,1.0,Alberta
2010-08-15,0.01,Alberta
2010-08-22,1.0,Alberta
2010-08-29,1.0,Alberta
2010-09-05,1.0,Alberta
2010-09-12,1.0,Alberta
2010-09-19,2.0,Alberta
2010-09-26,2.0,Alberta
2010-10-03,2.0,Alberta
2010-10-10,6.0,Alberta
2010-10-17,5.0,Alberta
2010-10-24,5.0,Alberta
2010-10-31,4.0,Alberta
2010-11-07,4.0,Alberta
2010-11-14,2.0,Alberta
2010-11-21,3.0,Alberta
2010-11-28,2.0,Alberta
2010-12-05,2.0,Alberta
2010-12-12,2.0,Alberta
2010-12-19,2.0,Alberta
2010-12-26,1.0,Alberta
2011-01-02,3.0,Alberta
2011-01-09,2.0,Alberta
2011-01-16,3.0,Alberta
2011-01-23,2.0,Alberta
2011-01-30,1.0,Alberta
2011-02-06,1.0,Alberta
2011-02-13,1.0,Alberta
2011-02-20,2.0,Alberta
2011-02-27,2.0,Alberta
2011-03-06,1.0,Alberta
2011-03-13,1.0,Alberta
2011-03-20,1.0,Alberta
2011-03-27,1.0,Alberta
2011-04-03,1.0,Alberta
2011-04-10,1.0,Alberta
2011-04-17,1.0,Alberta
2011-04-24,1.0,Alberta
2011-05-01,1.0,Alberta
2011-05-08,1.0,Alberta
2011-05-15,1.0,Alberta
2011-05-22,1.0,Alberta
2011-05-29,1.0,Alberta
2011-06-05,1.0,Alberta
2011-06-12,1.0,Alberta
2011-06-19,1.0,Alberta
2011-06-26,0.5,Alberta
2011-07-03,1.0,Alberta
2011-07-10,1.0,Alberta
2011-07-17,1.0,Alberta
2011-07-24,0.5,Alberta
2011-07-31,0.5,Alberta
2011-08-07,0.5,Alberta
2011-08-14,0.5,Alberta
2011-08-21,0.01,Alberta
2011-08-28,1.0,Alberta
2011-09-04,1.0,Alberta
2011-09-11,1.0,Alberta
2011-09-18,1.0,Alberta
2011-09-25,2.0,Alberta
2011-10-02,3.0,Alberta
2011-10-09,3.0,Alberta
2011-10-16,7.0,Alberta
2011-10-23,6.0,Alberta
2011-10-30,4.0,Alberta
2011-11-06,4.0,Alberta
2011-11-13,4.0,Alberta
2011-11-20,3.0,Alberta
2011-11-27,2.0,Alberta
2011-12-04,2.0,Alberta
2011-12-11,2.0,Alberta
2011-12-18,2.0,Alberta
2011-12-25,2.0,Alberta
2012-01-01,2.0,Alberta
2012-01-08,2.0,Alberta
2012-01-15,1.0,Alberta
2012-01-22,1.0,Alberta
2012-01-29,2.0,Alberta
2012-02-05,2.0,Alberta
2012-02-12,2.0,Alberta
2012-02-19,1.0,Alberta
2012-02-26,1.0,Alberta
2012-03-04,1.0,Alberta
2012-03-11,2.0,Alberta
2012-03-18,1.0,Alberta
2012-03-25,1.0,Alberta
2012-04-01,1.0,Alberta
2012-04-08,1.0,Alberta
2012-04-15,1.0,Alberta
2012-04-22,1.0,Alberta
2012-04-29,1.0,Alberta
2012-05-06,1.0,Alberta
2012-05-13,1.0,Alberta
2012-05-20,1.0,Alberta
2012-05-27,1.0,Alberta
2012-06-03,1.0,Alberta
2012-06-10,1.0,Alberta
2012-06-17,1.0,Alberta
2012-06-24,1.0,Alberta
2012-07-01,1.0,Alberta
2012-07-08,1.0,Alberta
2012-07-15,1.0,Alberta
2012-07-22,1.0,Alberta
2012-07-29,1.0,Alberta
2012-08-05,1.0,Alberta
2012-08-12,0.5,Alberta
2012-08-19,1.0,Alberta
2012-08-26,1.0,Alberta
2012-09-02,1.0,Alberta
2012-09-09,1.0,Alberta
2012-09-16,1.0,Alberta
2012-09-23,1.0,Alberta
2012-09-30,2.0,Alberta
2012-10-07,3.0,Alberta
2012-10-14,7.0,Alberta
2012-10-21,6.0,Alberta
2012-10-28,6.0,Alberta
2012-11-04,4.0,Alberta
2012-11-11,4.0,Alberta
2012-11-18,3.0,Alberta
2012-11-25,3.0,Alberta
2012-12-02,3.0,Alberta
2012-12-09,4.0,Alberta
2012-12-16,3.0,Alberta
2012-12-23,4.0,Alberta
2012-12-30,4.0,Alberta
2013-01-06,9.0,Alberta
2013-01-13,6.0,Alberta
2013-01-20,3.0,Alberta
2013-01-27,3.0,Alberta
2013-02-03,2.0,Alberta
2013-02-10,2.0,Alberta
2013-02-17,2.0,Alberta
2013-02-24,1.0,Alberta
2013-03-03,1.0,Alberta
2013-03-10,1.0,Alberta
2013-03-17,1.0,Alberta
2013-03-24,1.0,Alberta
2013-03-31,2.0,Alberta
2013-04-07,2.0,Alberta
2013-04-14,2.0,Alberta
2013-04-21,1.0,Alberta
2013-04-28,1.0,Alberta
2013-05-05,1.0,Alberta
2013-05-12,1.0,Alberta
2013-05-19,1.0,Alberta
2013-05-26,1.0,Alberta
2013-06-02,1.0,Alberta
2013-06-09,1.0,Alberta
2013-06-16,1.0,Alberta
2013-06-23,1.0,Alberta
2013-06-30,1.0,Alberta
2013-07-07,1.0,Alberta
2013-07-14,1.0,Alberta
2013-07-21,1.0,Alberta
2013-07-28,1.0,Alberta
2013-08-04,1.0,Alberta
2013-08-11,1.0,Alberta
2013-08-18,1.0,Alberta
2013-08-25,1.0,Alberta
2013-09-01,1.0,Alberta
2013-09-08,1.0,Alberta
2013-09-15,1.0,Alberta
2013-09-22,2.0,Alberta
2013-09-29,3.0,Alberta
2013-10-06,3.0,Alberta
2013-10-13,3.0,Alberta
2013-10-20,9.0,Alberta
2013-10-27,6.0,Alberta
2013-11-03,6.0,Alberta
2013-11-10,4.0,Alberta
2013-11-17,3.0,Alberta
2013-11-24,3.0,Alberta
2013-12-01,2.0,Alberta
2013-12-08,3.0,Alberta
