time,temperature_2m_min,daylight_duration,precipitation_sum,rain_sum,province,country,date
2009-01-01,-18.9,30473.88,0.0,0.0,New Brunswick,Canada,2009-01-01
2009-01-02,-18.4,30536.69,0.0,0.0,New Brunswick,Canada,2009-01-02
2009-01-03,-17.4,30604.33,0.3,0.0,New Brunswick,Canada,2009-01-03
2009-01-04,-14.7,30676.67,2.1,0.0,New Brunswick,Canada,2009-01-04
2009-01-05,-11.6,30753.61,1.0,0.0,New Brunswick,Canada,2009-01-05
2009-01-06,-15.7,30835.03,0.0,0.0,New Brunswick,Canada,2009-01-06
2009-01-07,-19.8,30920.81,1.7,0.0,New Brunswick,Canada,2009-01-07
2009-01-08,-13.8,31010.83,11.3,0.0,New Brunswick,Canada,2009-01-08
2009-01-09,-12.6,31104.99,0.2,0.0,New Brunswick,Canada,2009-01-09
2009-01-10,-17.6,31203.14,0.0,0.0,New Brunswick,Canada,2009-01-10
2009-01-11,-20.3,31305.41,0.0,0.0,New Brunswick,Canada,2009-01-11
2009-01-12,-20.5,31412.93,0.0,0.0,New Brunswick,Canada,2009-01-12
2009-01-13,-16.6,31525.67,0.0,0.0,New Brunswick,Canada,2009-01-13
2009-01-14,-22.6,31643.37,3.8,0.0,New Brunswick,Canada,2009-01-14
2009-01-15,-27.5,31765.8,0.0,0.0,New Brunswick,Canada,2009-01-15
2009-01-16,-30.4,31892.72,0.0,0.0,New Brunswick,Canada,2009-01-16
2009-01-17,-30.5,32023.86,0.0,0.0,New Brunswick,Canada,2009-01-17
2009-01-18,-33.4,32158.99,1.1,0.0,New Brunswick,Canada,2009-01-18
2009-01-19,-19.3,32297.9,9.3,0.0,New Brunswick,Canada,2009-01-19
2009-01-20,-15.4,32440.32,0.0,0.0,New Brunswick,Canada,2009-01-20
2009-01-21,-19.1,32586.05,0.0,0.0,New Brunswick,Canada,2009-01-21
2009-01-22,-16.9,32734.85,0.7,0.0,New Brunswick,Canada,2009-01-22
2009-01-23,-23.7,32886.5,0.1,0.0,New Brunswick,Canada,2009-01-23
2009-01-24,-21.9,33040.8,5.5,0.0,New Brunswick,Canada,2009-01-24
2009-01-25,-27.0,33197.52,0.0,0.0,New Brunswick,Canada,2009-01-25
2009-01-26,-29.5,33356.46,0.0,0.0,New Brunswick,Canada,2009-01-26
2009-01-27,-25.3,33517.42,0.0,0.0,New Brunswick,Canada,2009-01-27
2009-01-28,-23.5,33680.2,0.5,0.0,New Brunswick,Canada,2009-01-28
2009-01-29,-15.9,33844.6,16.5,0.0,New Brunswick,Canada,2009-01-29
2009-01-30,-13.9,34010.44,0.0,0.0,New Brunswick,Canada,2009-01-30
2009-01-31,-12.3,34177.84,1.2,0.0,New Brunswick,Canada,2009-01-31
2009-02-01,-17.0,34348.49,0.3,0.0,New Brunswick,Canada,2009-02-01
2009-02-02,-13.7,34522.47,0.8,0.0,New Brunswick,Canada,2009-02-02
2009-02-03,-16.6,34699.52,0.0,0.0,New Brunswick,Canada,2009-02-03
2009-02-04,-16.9,34879.4,0.0,0.0,New Brunswick,Canada,2009-02-04
2009-02-05,-19.5,35061.89,0.0,0.0,New Brunswick,Canada,2009-02-05
2009-02-06,-19.7,35246.76,0.0,0.0,New Brunswick,Canada,2009-02-06
2009-02-07,-17.1,35433.77,0.0,0.0,New Brunswick,Canada,2009-02-07
2009-02-08,-10.2,35622.74,5.0,0.0,New Brunswick,Canada,2009-02-08
2009-02-09,-19.2,35813.43,0.1,0.0,New Brunswick,Canada,2009-02-09
2009-02-10,-20.2,36005.64,0.0,0.0,New Brunswick,Canada,2009-02-10
2009-02-11,-11.7,36199.18,3.4,0.0,New Brunswick,Canada,2009-02-11
2009-02-12,-3.7,36393.84,3.0,0.0,New Brunswick,Canada,2009-02-12
2009-02-13,-18.3,36589.44,0.1,0.0,New Brunswick,Canada,2009-02-13
2009-02-14,-15.0,36785.78,13.4,0.0,New Brunswick,Canada,2009-02-14
2009-02-15,-5.6,36982.68,0.4,0.0,New Brunswick,Canada,2009-02-15
2009-02-16,-9.1,37179.96,0.1,0.0,New Brunswick,Canada,2009-02-16
2009-02-17,-8.8,37377.46,0.0,0.0,New Brunswick,Canada,2009-02-17
2009-02-18,-14.6,37574.98,0.0,0.0,New Brunswick,Canada,2009-02-18
2009-02-19,-9.5,37772.37,4.5,0.0,New Brunswick,Canada,2009-02-19
2009-02-20,-10.1,37969.78,9.3,0.0,New Brunswick,Canada,2009-02-20
2009-02-21,-8.3,38168.88,3.4,0.0,New Brunswick,Canada,2009-02-21
2009-02-22,-13.6,38369.82,0.0,0.0,New Brunswick,Canada,2009-02-22
2009-02-23,-8.1,38572.42,15.4,0.0,New Brunswick,Canada,2009-02-23
2009-02-24,-11.8,38776.5,0.9,0.0,New Brunswick,Canada,2009-02-24
2009-02-25,-14.5,38981.89,0.0,0.0,New Brunswick,Canada,2009-02-25
2009-02-26,-10.3,39188.43,0.6,0.0,New Brunswick,Canada,2009-02-26
2009-02-27,-6.7,39395.96,2.8,2.8,New Brunswick,Canada,2009-02-27
2009-02-28,-17.2,39604.31,8.7,6.5,New Brunswick,Canada,2009-02-28
2009-03-01,-21.4,39813.32,0.0,0.0,New Brunswick,Canada,2009-03-01
2009-03-02,-16.3,40022.85,7.5,0.0,New Brunswick,Canada,2009-03-02
2009-03-03,-14.3,40232.73,3.5,0.0,New Brunswick,Canada,2009-03-03
2009-03-04,-18.9,40442.83,0.0,0.0,New Brunswick,Canada,2009-03-04
2009-03-05,-16.6,40652.99,0.0,0.0,New Brunswick,Canada,2009-03-05
2009-03-06,-17.3,40863.06,6.8,0.0,New Brunswick,Canada,2009-03-06
2009-03-07,-4.0,41072.89,6.5,0.0,New Brunswick,Canada,2009-03-07
2009-03-08,-4.6,41282.36,1.3,0.1,New Brunswick,Canada,2009-03-08
2009-03-09,-12.1,41491.3,0.0,0.0,New Brunswick,Canada,2009-03-09
2009-03-10,-13.3,41699.59,0.0,0.0,New Brunswick,Canada,2009-03-10
2009-03-11,-5.0,41907.07,4.9,0.0,New Brunswick,Canada,2009-03-11
2009-03-12,-16.7,42113.88,2.6,0.3,New Brunswick,Canada,2009-03-12
2009-03-13,-20.7,42321.59,0.0,0.0,New Brunswick,Canada,2009-03-13
2009-03-14,-14.2,42530.32,0.0,0.0,New Brunswick,Canada,2009-03-14
2009-03-15,-12.0,42739.95,0.1,0.0,New Brunswick,Canada,2009-03-15
2009-03-16,-17.7,42950.34,0.0,0.0,New Brunswick,Canada,2009-03-16
2009-03-17,-15.2,43161.37,0.1,0.0,New Brunswick,Canada,2009-03-17
2009-03-18,-4.1,43372.91,2.4,0.8,New Brunswick,Canada,2009-03-18
2009-03-19,-7.0,43584.84,0.0,0.0,New Brunswick,Canada,2009-03-19
2009-03-20,-14.5,43797.01,0.0,0.0,New Brunswick,Canada,2009-03-20
2009-03-21,-15.3,44009.3,0.0,0.0,New Brunswick,Canada,2009-03-21
2009-03-22,-7.1,44221.59,1.0,0.0,New Brunswick,Canada,2009-03-22
2009-03-23,-12.7,44433.75,0.8,0.0,New Brunswick,Canada,2009-03-23
2009-03-24,-6.9,44645.64,0.0,0.0,New Brunswick,Canada,2009-03-24
2009-03-25,-10.5,44857.15,0.0,0.0,New Brunswick,Canada,2009-03-25
2009-03-26,-9.3,45068.12,0.0,0.0,New Brunswick,Canada,2009-03-26
2009-03-27,-1.6,45278.45,0.9,0.0,New Brunswick,Canada,2009-03-27
2009-03-28,-2.5,45487.98,0.2,0.2,New Brunswick,Canada,2009-03-28
2009-03-29,-4.5,45696.59,0.0,0.0,New Brunswick,Canada,2009-03-29
2009-03-30,-3.0,45904.14,23.8,0.0,New Brunswick,Canada,2009-03-30
2009-03-31,-4.7,46110.48,2.7,0.0,New Brunswick,Canada,2009-03-31
2009-04-01,-8.8,46315.75,0.0,0.0,New Brunswick,Canada,2009-04-01
2009-04-02,-0.4,46521.39,2.5,0.5,New Brunswick,Canada,2009-04-02
2009-04-03,0.4,46727.54,0.0,0.0,New Brunswick,Canada,2009-04-03
2009-04-04,2.8,46934.09,9.2,9.2,New Brunswick,Canada,2009-04-04
2009-04-05,0.1,47140.89,12.1,11.9,New Brunswick,Canada,2009-04-05
2009-04-06,-1.7,47347.84,0.0,0.0,New Brunswick,Canada,2009-04-06
2009-04-07,-2.2,47554.81,12.1,5.3,New Brunswick,Canada,2009-04-07
2009-04-08,-0.7,47761.67,5.7,5.2,New Brunswick,Canada,2009-04-08
2009-04-09,-2.7,47968.29,2.6,0.8,New Brunswick,Canada,2009-04-09
2009-04-10,-5.3,48174.54,0.2,0.0,New Brunswick,Canada,2009-04-10
2009-04-11,-6.8,48380.29,0.0,0.0,New Brunswick,Canada,2009-04-11
2009-04-12,-6.4,48585.4,2.1,0.0,New Brunswick,Canada,2009-04-12
2009-04-13,-4.0,48789.73,9.9,0.0,New Brunswick,Canada,2009-04-13
2009-04-14,-5.0,48993.14,0.5,0.0,New Brunswick,Canada,2009-04-14
2009-04-15,-7.4,49195.47,0.0,0.0,New Brunswick,Canada,2009-04-15
2009-04-16,-8.0,49396.59,0.0,0.0,New Brunswick,Canada,2009-04-16
2009-04-17,-5.5,49596.35,4.5,1.0,New Brunswick,Canada,2009-04-17
2009-04-18,-7.6,49794.57,0.0,0.0,New Brunswick,Canada,2009-04-18
2009-04-19,-6.1,49991.12,0.0,0.0,New Brunswick,Canada,2009-04-19
2009-04-20,-7.2,50185.82,0.0,0.0,New Brunswick,Canada,2009-04-20
2009-04-21,-1.8,50378.75,2.0,1.4,New Brunswick,Canada,2009-04-21
2009-04-22,1.2,50571.34,7.4,7.4,New Brunswick,Canada,2009-04-22
2009-04-23,1.6,50763.71,12.0,10.6,New Brunswick,Canada,2009-04-23
2009-04-24,1.3,50955.72,6.8,2.3,New Brunswick,Canada,2009-04-24
2009-04-25,4.6,51147.23,0.0,0.0,New Brunswick,Canada,2009-04-25
2009-04-26,3.2,51338.09,0.0,0.0,New Brunswick,Canada,2009-04-26
2009-04-27,-3.6,51528.16,0.4,0.4,New Brunswick,Canada,2009-04-27
2009-04-28,4.9,51717.28,3.1,3.1,New Brunswick,Canada,2009-04-28
2009-04-29,-2.4,51905.3,0.0,0.0,New Brunswick,Canada,2009-04-29
2009-04-30,-2.2,52092.05,0.0,0.0,New Brunswick,Canada,2009-04-30
2009-05-01,3.4,52277.38,6.5,6.5,New Brunswick,Canada,2009-05-01
2009-05-02,1.4,52461.12,3.1,3.1,New Brunswick,Canada,2009-05-02
2009-05-03,-2.1,52643.09,0.9,0.9,New Brunswick,Canada,2009-05-03
2009-05-04,2.9,52823.11,0.5,0.5,New Brunswick,Canada,2009-05-04
2009-05-05,-3.0,53001.01,0.0,0.0,New Brunswick,Canada,2009-05-05
2009-05-06,0.0,53176.59,6.0,6.0,New Brunswick,Canada,2009-05-06
2009-05-07,-0.2,53349.66,1.6,1.6,New Brunswick,Canada,2009-05-07
2009-05-08,2.8,53520.05,3.9,3.9,New Brunswick,Canada,2009-05-08
2009-05-09,3.3,53687.52,3.7,3.7,New Brunswick,Canada,2009-05-09
2009-05-10,4.0,53851.89,16.2,16.2,New Brunswick,Canada,2009-05-10
2009-05-11,0.0,54013.2,0.0,0.0,New Brunswick,Canada,2009-05-11
2009-05-12,-0.2,54172.71,0.0,0.0,New Brunswick,Canada,2009-05-12
2009-05-13,3.4,54330.54,0.0,0.0,New Brunswick,Canada,2009-05-13
2009-05-14,6.8,54486.52,0.7,0.7,New Brunswick,Canada,2009-05-14
2009-05-15,6.6,54640.51,2.2,2.2,New Brunswick,Canada,2009-05-15
2009-05-16,1.0,54792.35,0.3,0.3,New Brunswick,Canada,2009-05-16
2009-05-17,8.7,54941.86,14.9,14.9,New Brunswick,Canada,2009-05-17
2009-05-18,0.7,55088.91,0.0,0.0,New Brunswick,Canada,2009-05-18
2009-05-19,-0.4,55233.29,0.1,0.1,New Brunswick,Canada,2009-05-19
2009-05-20,-0.8,55374.86,3.1,3.1,New Brunswick,Canada,2009-05-20
2009-05-21,2.9,55513.43,2.1,2.1,New Brunswick,Canada,2009-05-21
2009-05-22,9.5,55648.83,0.3,0.3,New Brunswick,Canada,2009-05-22
2009-05-23,1.8,55780.88,0.0,0.0,New Brunswick,Canada,2009-05-23
2009-05-24,6.5,55909.38,5.3,5.3,New Brunswick,Canada,2009-05-24
2009-05-25,4.2,56034.15,0.4,0.4,New Brunswick,Canada,2009-05-25
2009-05-26,0.4,56155.02,0.0,0.0,New Brunswick,Canada,2009-05-26
2009-05-27,3.6,56271.77,0.0,0.0,New Brunswick,Canada,2009-05-27
2009-05-28,3.3,56384.23,0.0,0.0,New Brunswick,Canada,2009-05-28
2009-05-29,6.0,56492.18,16.3,16.3,New Brunswick,Canada,2009-05-29
2009-05-30,8.7,56595.45,1.0,1.0,New Brunswick,Canada,2009-05-30
2009-05-31,4.1,56694.0,11.7,11.7,New Brunswick,Canada,2009-05-31
2009-06-01,3.0,56788.64,23.8,23.8,New Brunswick,Canada,2009-06-01
2009-06-02,7.1,56879.45,0.6,0.6,New Brunswick,Canada,2009-06-02
2009-06-03,5.1,56966.33,0.0,0.0,New Brunswick,Canada,2009-06-03
2009-06-04,5.1,57049.19,0.3,0.3,New Brunswick,Canada,2009-06-04
2009-06-05,5.9,57127.92,0.0,0.0,New Brunswick,Canada,2009-06-05
2009-06-06,8.7,57202.43,1.8,1.8,New Brunswick,Canada,2009-06-06
2009-06-07,6.4,57272.62,0.6,0.6,New Brunswick,Canada,2009-06-07
2009-06-08,5.6,57338.41,0.0,0.0,New Brunswick,Canada,2009-06-08
2009-06-09,3.6,57399.7,0.0,0.0,New Brunswick,Canada,2009-06-09
2009-06-10,4.7,57456.39,6.9,6.9,New Brunswick,Canada,2009-06-10
2009-06-11,6.8,57508.41,0.0,0.0,New Brunswick,Canada,2009-06-11
2009-06-12,9.9,57555.66,16.2,16.2,New Brunswick,Canada,2009-06-12
2009-06-13,6.5,57598.05,0.1,0.1,New Brunswick,Canada,2009-06-13
2009-06-14,7.7,57635.52,4.0,4.0,New Brunswick,Canada,2009-06-14
2009-06-15,9.7,57667.96,2.7,2.7,New Brunswick,Canada,2009-06-15
2009-06-16,9.8,57695.32,0.0,0.0,New Brunswick,Canada,2009-06-16
2009-06-17,12.4,57717.5,0.0,0.0,New Brunswick,Canada,2009-06-17
2009-06-18,13.2,57734.46,0.0,0.0,New Brunswick,Canada,2009-06-18
2009-06-19,12.9,57746.1,0.0,0.0,New Brunswick,Canada,2009-06-19
2009-06-20,13.0,57752.37,7.5,7.5,New Brunswick,Canada,2009-06-20
2009-06-21,13.7,57753.28,9.3,9.3,New Brunswick,Canada,2009-06-21
2009-06-22,12.5,57748.9,0.0,0.0,New Brunswick,Canada,2009-06-22
2009-06-23,12.0,57739.27,0.0,0.0,New Brunswick,Canada,2009-06-23
2009-06-24,13.0,57724.45,0.1,0.1,New Brunswick,Canada,2009-06-24
2009-06-25,15.7,57704.52,4.7,4.7,New Brunswick,Canada,2009-06-25
2009-06-26,16.7,57679.51,20.8,20.8,New Brunswick,Canada,2009-06-26
2009-06-27,16.5,57649.53,18.5,18.5,New Brunswick,Canada,2009-06-27
2009-06-28,14.9,57614.62,0.9,0.9,New Brunswick,Canada,2009-06-28
2009-06-29,12.9,57574.89,8.9,8.9,New Brunswick,Canada,2009-06-29
2009-06-30,11.5,57530.4,0.0,0.0,New Brunswick,Canada,2009-06-30
2009-07-01,10.9,57481.22,9.8,9.8,New Brunswick,Canada,2009-07-01
2009-07-02,12.1,57427.44,0.5,0.5,New Brunswick,Canada,2009-07-02
2009-07-03,12.6,57369.14,4.4,4.4,New Brunswick,Canada,2009-07-03
2009-07-04,14.5,57306.41,21.9,21.9,New Brunswick,Canada,2009-07-04
2009-07-05,14.0,57239.33,1.7,1.7,New Brunswick,Canada,2009-07-05
2009-07-06,11.4,57168.0,6.7,6.7,New Brunswick,Canada,2009-07-06
2009-07-07,8.9,57092.5,0.0,0.0,New Brunswick,Canada,2009-07-07
2009-07-08,8.4,57012.92,0.0,0.0,New Brunswick,Canada,2009-07-08
2009-07-09,9.8,56929.36,0.0,0.0,New Brunswick,Canada,2009-07-09
2009-07-10,13.2,56841.74,0.0,0.0,New Brunswick,Canada,2009-07-10
2009-07-11,13.8,56749.26,0.0,0.0,New Brunswick,Canada,2009-07-11
2009-07-12,11.2,56651.96,9.8,9.8,New Brunswick,Canada,2009-07-12
2009-07-13,11.8,56550.03,8.9,8.9,New Brunswick,Canada,2009-07-13
2009-07-14,8.9,56443.65,10.7,10.7,New Brunswick,Canada,2009-07-14
2009-07-15,8.9,56333.02,0.2,0.2,New Brunswick,Canada,2009-07-15
2009-07-16,9.4,56218.31,0.0,0.0,New Brunswick,Canada,2009-07-16
2009-07-17,12.2,56099.73,6.2,6.2,New Brunswick,Canada,2009-07-17
2009-07-18,14.7,55977.45,16.1,16.1,New Brunswick,Canada,2009-07-18
2009-07-19,14.5,55851.65,1.5,1.5,New Brunswick,Canada,2009-07-19
2009-07-20,12.9,55722.51,0.0,0.0,New Brunswick,Canada,2009-07-20
2009-07-21,13.8,55590.23,0.3,0.3,New Brunswick,Canada,2009-07-21
2009-07-22,14.6,55454.95,14.3,14.3,New Brunswick,Canada,2009-07-22
2009-07-23,12.4,55316.86,0.2,0.2,New Brunswick,Canada,2009-07-23
2009-07-24,12.8,55176.13,0.0,0.0,New Brunswick,Canada,2009-07-24
2009-07-25,12.2,55032.91,27.9,27.9,New Brunswick,Canada,2009-07-25
2009-07-26,11.6,54887.38,0.6,0.6,New Brunswick,Canada,2009-07-26
2009-07-27,16.2,54739.7,18.1,18.1,New Brunswick,Canada,2009-07-27
2009-07-28,15.6,54590.01,0.4,0.4,New Brunswick,Canada,2009-07-28
2009-07-29,16.8,54438.48,2.1,2.1,New Brunswick,Canada,2009-07-29
2009-07-30,18.2,54285.0,10.8,10.8,New Brunswick,Canada,2009-07-30
