time,temperature_2m_min,daylight_duration,precipitation_sum,rain_sum,province,country,date
2009-01-01,-23.0,23785.73,3.0,0.0,Newfoundland and Labrador,Canada,2009-01-01
2009-01-02,-21.8,23892.34,1.6,0.0,Newfoundland and Labrador,Canada,2009-01-02
2009-01-03,-10.4,24006.89,8.8,0.0,Newfoundland and Labrador,Canada,2009-01-03
2009-01-04,-6.7,24129.13,3.1,0.0,Newfoundland and Labrador,Canada,2009-01-04
2009-01-05,-7.0,24258.81,2.2,0.0,Newfoundland and Labrador,Canada,2009-01-05
2009-01-06,-7.9,24395.69,4.1,0.0,Newfoundland and Labrador,Canada,2009-01-06
2009-01-07,-13.6,24539.51,0.2,0.0,Newfoundland and Labrador,Canada,2009-01-07
2009-01-08,-18.9,24690.03,0.0,0.0,Newfoundland and Labrador,Canada,2009-01-08
2009-01-09,-23.4,24846.99,0.0,0.0,Newfoundland and Labrador,Canada,2009-01-09
2009-01-10,-28.1,25010.15,0.0,0.0,Newfoundland and Labrador,Canada,2009-01-10
2009-01-11,-31.3,25179.64,0.0,0.0,Newfoundland and Labrador,Canada,2009-01-11
2009-01-12,-34.5,25357.27,0.0,0.0,Newfoundland and Labrador,Canada,2009-01-12
2009-01-13,-37.7,25542.93,0.0,0.0,Newfoundland and Labrador,Canada,2009-01-13
2009-01-14,-38.5,25736.15,0.4,0.0,Newfoundland and Labrador,Canada,2009-01-14
2009-01-15,-32.6,25936.45,3.9,0.0,Newfoundland and Labrador,Canada,2009-01-15
2009-01-16,-32.7,26143.38,0.7,0.0,Newfoundland and Labrador,Canada,2009-01-16
2009-01-17,-32.9,26356.48,0.0,0.0,Newfoundland and Labrador,Canada,2009-01-17
2009-01-18,-34.8,26575.33,0.0,0.0,Newfoundland and Labrador,Canada,2009-01-18
2009-01-19,-33.6,26799.48,0.0,0.0,Newfoundland and Labrador,Canada,2009-01-19
2009-01-20,-36.4,27028.54,0.0,0.0,Newfoundland and Labrador,Canada,2009-01-20
2009-01-21,-33.3,27262.09,0.0,0.0,Newfoundland and Labrador,Canada,2009-01-21
2009-01-22,-32.6,27499.75,0.0,0.0,Newfoundland and Labrador,Canada,2009-01-22
