time,temperature_2m_min,daylight_duration,precipitation_sum,rain_sum,province,country,date
2009-01-01,-9.2,31805.84,22.1,0.0,Nova Scotia,Canada,2009-01-01
2009-01-02,-10.3,31861.33,2.2,0.0,Nova Scotia,Canada,2009-01-02
2009-01-03,-9.2,31921.11,1.0,0.0,Nova Scotia,Canada,2009-01-03
2009-01-04,-9.3,31985.07,0.7,0.0,Nova Scotia,Canada,2009-01-04
2009-01-05,-6.5,32053.11,0.6,0.0,Nova Scotia,Canada,2009-01-05
2009-01-06,-6.4,32125.13,0.0,0.0,Nova Scotia,Canada,2009-01-06
2009-01-07,-12.0,32201.03,8.4,3.5,Nova Scotia,Canada,2009-01-07
2009-01-08,-4.2,32280.72,16.0,15.6,Nova Scotia,Canada,2009-01-08
2009-01-09,-8.1,32364.09,0.0,0.0,Nova Scotia,Canada,2009-01-09
2009-01-10,-10.3,32451.04,0.0,0.0,Nova Scotia,Canada,2009-01-10
2009-01-11,-17.0,32541.66,8.1,0.0,Nova Scotia,Canada,2009-01-11
2009-01-12,-10.1,32636.97,0.3,0.0,Nova Scotia,Canada,2009-01-12
2009-01-13,-14.8,32736.96,0.0,0.0,Nova Scotia,Canada,2009-01-13
2009-01-14,-9.7,32841.38,16.1,15.3,Nova Scotia,Canada,2009-01-14
2009-01-15,-18.1,32950.05,0.0,0.0,Nova Scotia,Canada,2009-01-15
2009-01-16,-24.4,33062.74,0.0,0.0,Nova Scotia,Canada,2009-01-16
2009-01-17,-25.8,33179.23,0.0,0.0,Nova Scotia,Canada,2009-01-17
2009-01-18,-28.1,33299.34,2.1,0.0,Nova Scotia,Canada,2009-01-18
2009-01-19,-4.3,33422.84,17.5,12.3,Nova Scotia,Canada,2009-01-19
2009-01-20,-5.3,33549.54,0.0,0.0,Nova Scotia,Canada,2009-01-20
2009-01-21,-9.9,33679.22,0.0,0.0,Nova Scotia,Canada,2009-01-21
2009-01-22,-8.6,33811.71,0.0,0.0,Nova Scotia,Canada,2009-01-22
2009-01-23,-13.7,33946.8,0.0,0.0,Nova Scotia,Canada,2009-01-23
2009-01-24,-10.4,34084.3,0.2,0.0,Nova Scotia,Canada,2009-01-24
2009-01-25,-17.2,34224.03,0.3,0.0,Nova Scotia,Canada,2009-01-25
2009-01-26,-21.7,34365.8,0.2,0.0,Nova Scotia,Canada,2009-01-26
2009-01-27,-23.8,34509.45,0.0,0.0,Nova Scotia,Canada,2009-01-27
2009-01-28,-22.7,34654.77,0.9,0.0,Nova Scotia,Canada,2009-01-28
2009-01-29,-7.3,34801.61,15.1,6.8,Nova Scotia,Canada,2009-01-29
2009-01-30,-11.5,34949.8,0.0,0.0,Nova Scotia,Canada,2009-01-30
2009-01-31,-13.2,35099.46,1.2,0.0,Nova Scotia,Canada,2009-01-31
2009-02-01,-8.6,35252.09,6.4,0.0,Nova Scotia,Canada,2009-02-01
2009-02-02,-6.5,35407.75,0.0,0.0,Nova Scotia,Canada,2009-02-02
2009-02-03,-4.3,35566.22,17.3,4.0,Nova Scotia,Canada,2009-02-03
2009-02-04,-8.7,35727.31,12.1,6.5,Nova Scotia,Canada,2009-02-04
2009-02-05,-11.2,35890.8,1.2,0.0,Nova Scotia,Canada,2009-02-05
2009-02-06,-17.2,36056.48,0.0,0.0,Nova Scotia,Canada,2009-02-06
2009-02-07,-13.9,36224.16,0.0,0.0,Nova Scotia,Canada,2009-02-07
2009-02-08,-2.7,36393.66,2.7,1.3,Nova Scotia,Canada,2009-02-08
2009-02-09,-11.1,36564.77,0.0,0.0,Nova Scotia,Canada,2009-02-09
2009-02-10,-15.1,36737.3,0.0,0.0,Nova Scotia,Canada,2009-02-10
2009-02-11,-9.9,36911.1,0.2,0.0,Nova Scotia,Canada,2009-02-11
2009-02-12,-0.1,37085.97,6.0,6.0,Nova Scotia,Canada,2009-02-12
2009-02-13,-10.6,37261.73,0.7,0.0,Nova Scotia,Canada,2009-02-13
2009-02-14,-11.5,37438.24,0.9,0.0,Nova Scotia,Canada,2009-02-14
2009-02-15,-13.6,37615.3,0.0,0.0,Nova Scotia,Canada,2009-02-15
2009-02-16,-5.3,37792.77,0.0,0.0,Nova Scotia,Canada,2009-02-16
2009-02-17,-14.0,37970.48,0.0,0.0,Nova Scotia,Canada,2009-02-17
2009-02-18,-9.8,38148.28,0.0,0.0,Nova Scotia,Canada,2009-02-18
2009-02-19,-15.1,38326.01,6.4,0.4,Nova Scotia,Canada,2009-02-19
2009-02-20,-2.0,38503.79,0.3,0.2,Nova Scotia,Canada,2009-02-20
2009-02-21,-6.0,38683.17,0.0,0.0,Nova Scotia,Canada,2009-02-21
2009-02-22,-8.9,38864.24,0.0,0.0,Nova Scotia,Canada,2009-02-22
2009-02-23,-2.9,39046.85,16.1,10.9,Nova Scotia,Canada,2009-02-23
2009-02-24,-7.2,39230.84,1.0,0.0,Nova Scotia,Canada,2009-02-24
2009-02-25,-10.1,39416.07,0.0,0.0,Nova Scotia,Canada,2009-02-25
2009-02-26,-11.3,39602.36,0.0,0.0,Nova Scotia,Canada,2009-02-26
2009-02-27,-2.6,39789.59,0.0,0.0,Nova Scotia,Canada,2009-02-27
2009-02-28,-2.7,39977.6,7.4,7.4,Nova Scotia,Canada,2009-02-28
2009-03-01,-9.5,40166.25,3.3,0.0,Nova Scotia,Canada,2009-03-01
2009-03-02,-6.5,40355.39,15.5,14.9,Nova Scotia,Canada,2009-03-02
2009-03-03,-2.9,40544.89,20.2,20.2,Nova Scotia,Canada,2009-03-03
2009-03-04,-9.0,40734.62,0.0,0.0,Nova Scotia,Canada,2009-03-04
2009-03-05,-11.0,40924.43,0.0,0.0,Nova Scotia,Canada,2009-03-05
2009-03-06,-11.6,41114.19,2.4,0.0,Nova Scotia,Canada,2009-03-06
2009-03-07,-0.0,41303.76,4.9,3.8,Nova Scotia,Canada,2009-03-07
2009-03-08,-0.9,41493.02,7.2,1.1,Nova Scotia,Canada,2009-03-08
2009-03-09,-4.5,41681.83,0.0,0.0,Nova Scotia,Canada,2009-03-09
2009-03-10,-6.8,41870.06,0.0,0.0,Nova Scotia,Canada,2009-03-10
2009-03-11,-9.7,42057.58,4.0,0.0,Nova Scotia,Canada,2009-03-11
2009-03-12,-5.6,42244.52,2.2,1.4,Nova Scotia,Canada,2009-03-12
2009-03-13,-13.7,42432.27,0.0,0.0,Nova Scotia,Canada,2009-03-13
2009-03-14,-11.2,42620.96,0.0,0.0,Nova Scotia,Canada,2009-03-14
2009-03-15,-3.5,42810.47,0.0,0.0,Nova Scotia,Canada,2009-03-15
2009-03-16,-9.1,43000.68,0.0,0.0,Nova Scotia,Canada,2009-03-16
2009-03-17,-9.2,43191.47,0.0,0.0,Nova Scotia,Canada,2009-03-17
2009-03-18,-8.6,43382.73,0.0,0.0,Nova Scotia,Canada,2009-03-18
2009-03-19,-0.5,43574.33,8.8,8.8,Nova Scotia,Canada,2009-03-19
2009-03-20,-4.6,43766.15,0.0,0.0,Nova Scotia,Canada,2009-03-20
2009-03-21,-7.8,43958.09,0.0,0.0,Nova Scotia,Canada,2009-03-21
2009-03-22,-8.4,44150.01,0.3,0.1,Nova Scotia,Canada,2009-03-22
2009-03-23,-3.5,44341.8,4.0,0.0,Nova Scotia,Canada,2009-03-23
2009-03-24,-3.4,44533.36,10.6,0.0,Nova Scotia,Canada,2009-03-24
2009-03-25,-4.6,44724.54,0.0,0.0,Nova Scotia,Canada,2009-03-25
2009-03-26,-5.7,44915.23,0.0,0.0,Nova Scotia,Canada,2009-03-26
2009-03-27,-3.8,45105.32,0.0,0.0,Nova Scotia,Canada,2009-03-27
2009-03-28,-4.6,45294.68,0.0,0.0,Nova Scotia,Canada,2009-03-28
2009-03-29,-1.8,45483.17,0.0,0.0,Nova Scotia,Canada,2009-03-29
2009-03-30,-0.3,45670.69,18.6,15.9,Nova Scotia,Canada,2009-03-30
2009-03-31,-0.6,45857.11,9.3,0.0,Nova Scotia,Canada,2009-03-31
2009-04-01,-5.7,46042.52,0.0,0.0,Nova Scotia,Canada,2009-04-01
