time,temperature_2m_min,daylight_duration,precipitation_sum,rain_sum,province,country,date
2009-01-01,-11.4,32683.07,0.0,0.0,Ontario,Canada,2009-01-01
2009-01-02,-4.0,32733.92,0.1,0.0,Ontario,Canada,2009-01-02
2009-01-03,-7.5,32788.7,0.0,0.0,Ontario,Canada,2009-01-03
2009-01-04,-6.1,32847.33,2.7,2.7,Ontario,Canada,2009-01-04
2009-01-05,-7.0,32909.71,0.0,0.0,Ontario,Canada,2009-01-05
2009-01-06,-10.3,32975.75,0.0,0.0,Ontario,Canada,2009-01-06
2009-01-07,-2.6,33045.37,5.7,0.3,Ontario,Canada,2009-01-07
2009-01-08,-6.2,33118.46,3.0,0.0,Ontario,Canada,2009-01-08
2009-01-09,-8.4,33194.95,0.0,0.0,Ontario,Canada,2009-01-09
2009-01-10,-10.6,33274.75,2.7,0.0,Ontario,Canada,2009-01-10
2009-01-11,-12.4,33357.93,3.0,0.0,Ontario,Canada,2009-01-11
2009-01-12,-10.2,33445.43,0.0,0.0,Ontario,Canada,2009-01-12
2009-01-13,-11.2,33537.25,5.6,0.0,Ontario,Canada,2009-01-13
2009-01-14,-21.0,33633.16,0.4,0.0,Ontario,Canada,2009-01-14
2009-01-15,-20.5,33733.0,0.0,0.0,Ontario,Canada,2009-01-15
2009-01-16,-21.4,33836.55,0.0,0.0,Ontario,Canada,2009-01-16
2009-01-17,-21.2,33943.64,3.5,0.0,Ontario,Canada,2009-01-17
2009-01-18,-9.6,34054.07,4.1,0.0,Ontario,Canada,2009-01-18
2009-01-19,-10.3,34167.65,0.0,0.0,Ontario,Canada,2009-01-19
2009-01-20,-12.1,34284.2,0.0,0.0,Ontario,Canada,2009-01-20
2009-01-21,-16.4,34403.54,0.0,0.0,Ontario,Canada,2009-01-21
2009-01-22,-8.3,34525.48,0.0,0.0,Ontario,Canada,2009-01-22
2009-01-23,-6.5,34649.86,0.0,0.0,Ontario,Canada,2009-01-23
2009-01-24,-15.7,34776.49,0.0,0.0,Ontario,Canada,2009-01-24
2009-01-25,-18.2,34905.2,0.0,0.0,Ontario,Canada,2009-01-25
2009-01-26,-22.8,35035.83,0.0,0.0,Ontario,Canada,2009-01-26
2009-01-27,-15.3,35168.22,0.0,0.0,Ontario,Canada,2009-01-27
2009-01-28,-8.3,35302.2,10.3,0.0,Ontario,Canada,2009-01-28
2009-01-29,-10.9,35437.61,0.0,0.0,Ontario,Canada,2009-01-29
2009-01-30,-9.2,35574.3,0.3,0.0,Ontario,Canada,2009-01-30
2009-01-31,-17.5,35712.38,0.5,0.0,Ontario,Canada,2009-01-31
2009-02-01,-7.1,35853.23,0.0,0.0,Ontario,Canada,2009-02-01
2009-02-02,-8.6,35996.91,0.0,0.0,Ontario,Canada,2009-02-02
2009-02-03,-7.5,36143.25,1.4,0.0,Ontario,Canada,2009-02-03
2009-02-04,-16.3,36292.02,1.0,0.0,Ontario,Canada,2009-02-04
2009-02-05,-22.7,36443.04,0.0,0.0,Ontario,Canada,2009-02-05
2009-02-06,-13.5,36596.14,0.0,0.0,Ontario,Canada,2009-02-06
2009-02-07,-7.4,36751.12,0.0,0.0,Ontario,Canada,2009-02-07
2009-02-08,-2.8,36907.81,0.0,0.0,Ontario,Canada,2009-02-08
2009-02-09,-11.7,37066.04,0.3,0.3,Ontario,Canada,2009-02-09
2009-02-10,-0.2,37225.62,2.0,2.0,Ontario,Canada,2009-02-10
2009-02-11,5.7,37386.4,13.6,13.6,Ontario,Canada,2009-02-11
2009-02-12,1.5,37548.2,22.9,21.0,Ontario,Canada,2009-02-12
2009-02-13,-6.2,37710.88,0.0,0.0,Ontario,Canada,2009-02-13
2009-02-14,-7.4,37874.27,0.2,0.0,Ontario,Canada,2009-02-14
2009-02-15,-8.1,38038.21,0.0,0.0,Ontario,Canada,2009-02-15
2009-02-16,-8.5,38202.57,0.0,0.0,Ontario,Canada,2009-02-16
2009-02-17,-6.6,38367.17,0.0,0.0,Ontario,Canada,2009-02-17
2009-02-18,-1.3,38531.89,6.6,4.6,Ontario,Canada,2009-02-18
2009-02-19,-10.3,38696.57,3.0,0.9,Ontario,Canada,2009-02-19
2009-02-20,-12.2,38861.34,0.0,0.0,Ontario,Canada,2009-02-20
2009-02-21,-12.5,39027.6,6.9,0.0,Ontario,Canada,2009-02-21
2009-02-22,-6.8,39195.46,1.8,0.1,Ontario,Canada,2009-02-22
2009-02-23,-11.3,39364.78,0.1,0.0,Ontario,Canada,2009-02-23
2009-02-24,-19.6,39535.41,0.0,0.0,Ontario,Canada,2009-02-24
2009-02-25,-9.1,39707.2,1.0,1.0,Ontario,Canada,2009-02-25
2009-02-26,-0.4,39880.01,1.8,1.8,Ontario,Canada,2009-02-26
